route_id,trip_id,service_id,direction_id,trip_headsign
RED,RED-WK-0-185-21.57-MYP,WK,0,RDG2
RED,RED-WK-0-186-22.03-MYP,WK,0,RDG2
RED,RED-WK-0-187-22.13-MYP,WK,0,RDG2
RED,RED-WK-1-1-05.59-LBN,WK,1,NAG1
RED,RED-WK-1-2-06.00-LBN,WK,1,NAG1
RED,RED-WK-1-3-05.57-LBN,WK,1,NAG2
RED,RED-WK-1-4-06.07-LBN,WK,1,NAG1
RED,RED-WK-1-5-06.16-LBN,WK,1,NAG2
RED,RED-WK-1-6-06.26-LBN,WK,1,NAG2
RED,RED-WK-1-7-06.35-LBN,WK,1,NAG2
RED,RED-WK-1-8-06.45-LBN,WK,1,NAG2
RED,RED-WK-1-9-06.54-LBN,WK,1,NAG2
RED,RED-WK-1-10-07.01-LBN,WK,1,NAG1
RED,RED-WK-1-11-07.08-LBN,WK,1,NAG2
RED,RED-WK-1-12-07.15-LBN,WK,1,NAG1
RED,RED-WK-1-13-07.21-LBN,WK,1,NAG2
RED,RED-WK-1-14-07.28-LBN,WK,1,NAG1
RED,RED-WK-1-15-07.35-LBN,WK,1,NAG2
RED,RED-WK-1-16-07.42-LBN,WK,1,NAG1
RED,RED-WK-1-17-07.48-LBN,WK,1,NAG2
RED,RED-WK-1-18-07.55-LBN,WK,1,NAG1
RED,RED-WK-1-19-08.00-LBN,WK,1,NAG1
RED,RED-WK-1-20-08.04-LBN,WK,1,NAG1
RED,RED-WK-1-21-08.09-LBN,WK,1,NAG1
RED,RED-WK-1-22-08.13-LBN,WK,1,NAG1
RED,RED-WK-1-23-08.18-LBN,WK,1,NAG1
RED,RED-WK-1-24-08.22-LBN,WK,1,NAG1
RED,RED-WK-1-25-08.27-LBN,WK,1,NAG1
RED,RED-WK-1-26-08.31-LBN,WK,1,NAG1
RED,RED-WK-1-27-08.36-LBN,WK,1,NAG1
RED,RED-WK-1-28-08.40-LBN,WK,1,NAG1
RED,RED-WK-1-29-08.45-LBN,WK,1,NAG1
RED,RED-WK-1-30-08.49-LBN,WK,1,NAG1
RED,RED-WK-1-31-08.54-LBN,WK,1,NAG1
RED,RED-WK-1-32-08.58-LBN,WK,1,NAG1
RED,RED-WK-1-33-09.03-LBN,WK,1,NAG1
RED,RED-WK-1-34-09.07-LBN,WK,1,NAG1
RED,RED-WK-1-35-09.12-LBN,WK,1,NAG1
RED,RED-WK-1-36-09.16-LBN,WK,1,NAG1
RED,RED-WK-1-37-09.21-LBN,WK,1,NAG1
RED,RED-WK-1-38-09.25-LBN,WK,1,NAG1
RED,RED-WK-1-39-09.30-LBN,WK,1,NAG1
RED,RED-WK-1-40-09.34-LBN,WK,1,NAG1
RED,RED-WK-1-41-09.39-LBN,WK,1,NAG1
RED,RED-WK-1-42-09.43-LBN,WK,1,NAG1
RED,RED-WK-1-43-09.48-LBN,WK,1,NAG1
RED,RED-WK-1-44-09.52-LBN,WK,1,NAG1
RED,RED-WK-1-45-09.57-LBN,WK,1,NAG1
RED,RED-WK-1-46-10.01-LBN,WK,1,NAG1
RED,RED-WK-1-47-10.06-LBN,WK,1,NAG1
RED,RED-WK-1-48-10.10-LBN,WK,1,NAG1
RED,RED-WK-1-49-10.15-LBN,WK,1,NAG1
RED,RED-WK-1-50-10.19-LBN,WK,1,NAG1
RED,RED-WK-1-51-10.24-LBN,WK,1,NAG1
RED,RED-WK-1-52-10.28-LBN,WK,1,NAG1
RED,RED-WK-1-53-10.33-LBN,WK,1,NAG1
RED,RED-WK-1-54-10.37-LBN,WK,1,NAG1
RED,RED-WK-1-55-10.42-LBN,WK,1,NAG1
RED,RED-WK-1-56-10.46-LBN,WK,1,NAG2
RED,RED-WK-1-57-10.51-LBN,WK,1,NAG2
RED,RED-WK-1-58-10.55-LBN,WK,1,NAG1
RED,RED-WK-1-59-11.00-LBN,WK,1,NAG2
RED,RED-WK-1-60-11.04-LBN,WK,1,NAG2
RED,RED-WK-1-61-11.09-LBN,WK,1,NAG1
RED,RED-WK-1-62-11.13-LBN,WK,1,NAG2
RED,RED-WK-1-63-11.18-LBN,WK,1,NAG2
RED,RED-WK-1-64-11.22-LBN,WK,1,NAG1
RED,RED-WK-1-65-11.27-LBN,WK,1,NAG2
RED,RED-WK-1-66-11.31-LBN,WK,1,NAG2
RED,RED-WK-1-67-11.36-LBN,WK,1,NAG1
RED,RED-WK-1-68-11.40-LBN,WK,1,NAG2
RED,RED-WK-1-69-11.45-LBN,WK,1,NAG2
RED,RED-WK-1-70-11.49-LBN,WK,1,NAG1
RED,RED-WK-1-71-11.54-LBN,WK,1,NAG2
RED,RED-WK-1-72-11.58-LBN,WK,1,NAG2
RED,RED-WK-1-73-12.03-LBN,WK,1,NAG1
RED,RED-WK-1-74-12.07-LBN,WK,1,NAG2
RED,RED-WK-1-75-12.12-LBN,WK,1,NAG2
RED,RED-WK-1-76-12.16-LBN,WK,1,NAG1
RED,RED-WK-1-77-12.23-LBN,WK,1,NAG1
RED,RED-WK-1-78-12.30-LBN,WK,1,NAG1
RED,RED-WK-1-79-12.36-LBN,WK,1,NAG1
RED,RED-WK-1-80-12.43-LBN,WK,1,NAG1
RED,RED-WK-1-81-12.50-LBN,WK,1,NAG1
RED,RED-WK-1-82-12.57-LBN,WK,1,NAG1
RED,RED-WK-1-83-13.03-LBN,WK,1,NAG1
RED,RED-WK-1-84-13.10-LBN,WK,1,NAG1
RED,RED-WK-1-85-13.17-LBN,WK,1,NAG1
RED,RED-WK-1-86-13.24-LBN,WK,1,NAG1
RED,RED-WK-1-87-13.30-LBN,WK,1,NAG1
RED,RED-WK-1-88-13.37-LBN,WK,1,NAG1
RED,RED-WK-1-89-13.44-LBN,WK,1,NAG1
RED,RED-WK-1-90-13.51-LBN,WK,1,NAG1
RED,RED-WK-1-91-13.57-LBN,WK,1,NAG1
RED,RED-WK-1-92-14.04-LBN,WK,1,NAG1
RED,RED-WK-1-93-14.11-LBN,WK,1,NAG1
RED,RED-WK-1-94-14.18-LBN,WK,1,NAG1
RED,RED-WK-1-95-14.24-LBN,WK,1,NAG1
RED,RED-WK-1-96-14.31-LBN,WK,1,NAG1
RED,RED-WK-1-97-14.38-LBN,WK,1,NAG1
RED,RED-WK-1-98-14.45-LBN,WK,1,NAG1
RED,RED-WK-1-99-14.51-LBN,WK,1,NAG1
RED,RED-WK-1-100-14.58-LBN,WK,1,NAG1
